Registro;Nombre;Fecha Registro;Empresa;Principio Activo;Control Legal;Condiciones de Venta;Equivalente Terapeutico
F-24426/18;MOXIFLOXACINO SOLUCIÓN OFTÁLMICA 0,5%;2018-12-07 00:00:00;ASCEND LABORATORIES S.p.A.;MOXIFLOXACINO;;Receta Médica;TRUE
F-22365/20;MOXIFLOXACINO SOLUCIÓN OFTÁLMICA 0,5%;2015-12-23 00:00:00;MEDINOVA FARMA LTDA.;MOXIFLOXACINO;;Receta Médica;
F-22751/21;MOXIFLOXACINO SOLUCIÓN PARA PERFUSIÓN 400 mg/250 mL;2016-06-01 00:00:00;FRESENIUS KABI CHILE LTDA.;MOXIFLOXACINO;;Receta Médica;TRUE
F-25244/20;MOXIVULAN 875/125 COMPRIMIDOS RECUBIERTOS;2020-01-22 00:00:00;ASCEND LABORATORIES S.p.A.;ACIDO CLAVULANICO//AMOXICILINA;;Receta Médica;TRUE
F-20143/18;MOXIVULAN 400/57 POLVO PARA SUSPENSIÓN ORAL(AMOXICILINA TRIHIDRATO / CLAVULANATO DE POTASIO/DIOXIDO DE SILICIO 1:1 MEZCLA);2013-07-24 00:00:00;ASCEND LABORATORIES S.p.A.;ACIDO CLAVULANICO//AMOXICILINA;;Receta Médica;
F-25248/20;MOXIVULAN COMPRIMIDOS RECUBIERTOS 500/125;2020-01-27 00:00:00;ASCEND LABORATORIES S.p.A.;ACIDO CLAVULANICO//AMOXICILINA;;Receta Médica;TRUE
F-15694/21;MOXOF SOLUCIÓN OFTÁLMICA 0,5%;2006-10-13 00:00:00;LABORATORIOS SAVAL S.A.;MOXIFLOXACINO;;Receta Médica;
F-23111/21;MOZOBIL SOLUCIÓN INYECTABLE 20 mg/ 1mL (PLERIXAFOR);2016-10-06 00:00:00;SANOFI-AVENTIS DE CHILE S.A.;PLERIXAFOR;;Receta Médica;
F-24139/18;MOZOLA CÁPSULAS 100 mg;2018-10-03 00:00:00;EUROFARMA CHILE S.A.;Temozolomida;;Receta Médica;TRUE
F-24164/18;MOZOLA CÁPSULAS 140 mg (TEMOZOLOMIDA);2018-10-08 00:00:00;EUROFARMA CHILE S.A.;TEMOZOLOMIDA;;Receta Médica;TRUE
F-24165/18;MOZOLA CÁPSULAS 180 mg;2018-10-09 00:00:00;EUROFARMA CHILE S.A.;TEMOZOLOMIDA;;Receta Médica;TRUE
F-24138/18;MOZOLA CÁPSULAS 20 mg;2018-10-03 00:00:00;EUROFARMA CHILE S.A.;TEMOZOLOMIDA;;Receta Médica;TRUE
F-23939/18;MOZOLA CÁPSULAS 250 mg;2018-07-12 00:00:00;EUROFARMA CHILE S.A.;TEMOZOLOMIDA;;Receta Médica;TRUE
F-17034/18;MUCIVIL COMPRIMIDOS 250 mg (TERBINAFINA CLORHIDRATO);2008-09-01 00:00:00;LABORATORIOS PRATER S.A.;TERBINAFINA;;Receta Médica;TRUE
F-15618/21;MUCIVIL CREMA TÓPICA 1%;2006-07-21 00:00:00;LABORATORIOS PRATER S.A.;TERBINAFINA;;Receta Médica;
F-15504/21;MUCIVIL SOLUCIÓN TÓPICA 1%;2006-05-03 00:00:00;LABORATORIOS PRATER S.A.;TERBINAFINA;;Receta Médica;
F-11102/21;MUCOBROL JARABE ADULTOS;1993-04-01 00:00:00;LABORATORIOS LAFI LTDA.;BROMHEXINA//CLOFEDANOL;;Receta Médica;
F-11103/21;MUCOBROL JARABE INFANTIL;1993-04-01 00:00:00;LABORATORIOS LAFI LTDA.;BROMHEXINA//CLOFEDANOL;;Receta Médica;
F-1267/18;MUCOLÍTICO SOLUCIÓN PARA NEBULIZACIONES;1965-11-27 00:00:00;INSTITUTO SANITAS S.A.;ACETILCISTEINA;;Receta Médica;TRUE
H-1141/19;MUCOSA COMPOSITUM SOLUCIÓN INYECTABLE;2009-02-05 00:00:00;PRODUCTOS FARMACÉUTICOS HEEL CHILE LTDA.;;;Receta Médica;
F-10437/21;MULCATEL SUSPENSIÓN ORAL 10%;1990-10-22 00:00:00;LABORATORIO MAVER S.A.;SUCRALFATO;;Receta Médica;
F-22455/21;MULTIBIC 2K SOLUCIÓN PARA HEMODÍALISIS/ HEMOFILTRACIÓN 2 mmol/L;2016-02-11 00:00:00;PENTAFARMA S.A.;BICARBONATO SODICO//CALCIO CLORURO//GLUCOSA//MAGNESIO CLORURO//POTASIO CLORURO//SODIO CLORURO;;Receta Médica;
F-22454/21;MULTIBIC 4K SOLUCIÓN PARA HEMODIÁLISIS/HEMOFILTRACIÓN 4 mmol/L;2016-02-11 00:00:00;PENTAFARMA S.A.;BICARBONATO SODICO//CALCIO CLORURO//GLUCOSA//MAGNESIO CLORURO//POTASIO CLORURO//SODIO CLORURO;;Receta Médica;
F-22456/21;MULTIBIC S/K SOLUCIÓN PARA HEMODIÁLISIS/HEMOFILTRACIÓN;2016-02-11 00:00:00;PENTAFARMA S.A.;BICARBONATO SODICO//CALCIO CLORURO//GLUCOSA//MAGNESIO CLORURO;;Receta Médica;
F-22820/21;MUPAX CREMA TÓPICA 2% (MUPIROCINA);2016-07-06 00:00:00;LABORATORIOS RAFFO S.A.;MUPIROCINA;;Receta Médica;
F-22821/21;MUPAX UNGÜENTO NASAL 2% (MUPIROCINA);2016-07-06 00:00:00;LABORATORIOS RAFFO S.A.;MUPIROCINA;;Receta Médica;
F-22854/21;MUPAX UNGÜENTO TÓPICO 2%;2016-07-07 00:00:00;LABORATORIOS RAFFO S.A.;MUPIROCINA;;Receta Médica;
F-19021/21;MUPICIL CREMA DÉRMICA 2%;2011-10-26 00:00:00;LABORATORIOS D & M PHARMA LTDA.;MUPIROCINA;;Receta Médica;
F-19024/21;MUPICIL UNGÜENTO DÉRMICO 2%;2011-10-26 00:00:00;LABORATORIOS D & M PHARMA LTDA.;MUPIROCINA;;Receta Médica;
F-21282/19;MUPIROCINA UNGUENTO TOPICO 2%;2014-08-21 00:00:00;LABORATORIO HOSPIFARMA CHILE LTDA.;MUPIROCINA;;Receta Médica;
F-24858/19;MUPIROCINA UNGÜENTO TÓPICO 2%;2019-05-29 00:00:00;ASCEND LABORATORIES S.p.A.;MUPIROCINA;;Receta Médica;
F-9402/21;MUS COMPRIMIDOS RECUBIERTOS 500 mg;1997-02-19 00:00:00;INTERPHARMA S.A.;CLARITROMICINA;;Receta Médica;TRUE
F-9401/21;MUS GRÁNULOS MICROENCAPSULADOS PARA SUSPENSIÓN ORAL 250 mg / mL;1997-02-19 00:00:00;INTERPHARMA S.A.;CLARITROMICINA;;Receta Médica;
F-9400/21;MUS GRÁNULOS PARA SUSPENSIÓN ORAL 125 mg / 5 mL;1997-02-19 00:00:00;INTERPHARMA S.A.;CLARITROMICINA;;Receta Médica;
B-1630/21;MYCOBACTERIUM BOVIS (BCG) DANISH 1331 LIOFILIZADO PARA INSTILACIÓN INTRAVESICAL 30 mg;1997-01-07 00:00:00;GRÜNENTHAL CHILENA LTDA.;;;Receta Médica;
F-3249/20;MYDFRIN SOLUCIÓN OFTÁLMICA 2,5% (FENILEFRINA CLORHIDRATO);1984-08-13 00:00:00;ALCON LABORATORIOS CHILE LTDA.;FENILEFRINA;;Receta Médica;
F-25730/20;MYDRANE SOLUCIÓN INYECTABLE;2020-11-10 00:00:00;THEA PHARMA S.p.A.;FENILEFRINA//LIDOCAINA//TROPICAMIDA;;Receta Médica;TRUE
F-1180/18;MYDRIACYL SOLUCIÓN OFTÁLMICA ESTÉRIL 1%;1967-03-17 00:00:00;ALCON LABORATORIOS CHILE LTDA.;TROPICAMIDA;;Receta Médica;
F-23539/17;MYFORTIC COMPRIMIDOS CON RECUBRIMIENTO ENTÉRICO 180 mg;2017-07-11 00:00:00;NOVARTIS CHILE S.A.;MICOFENOLATO;;Receta Médica;
F-23540/17;MYFORTIC COMPRIMIDOS CON RECUBRIMIENTO ENTÉRICO 360 mg;2017-07-11 00:00:00;NOVARTIS CHILE S.A.;MICOFENOLATO;;Receta Médica;
F-1428/18;MYLERAN COMPRIMIDOS 2 mg;1959-08-27 00:00:00;ASPEN CHILE S.A.;BUSULFANO;;Receta Médica;
F-25390/20;MYLOOP ANILLO VAGINAL;2020-04-14 00:00:00;LABORATORIO PASTEUR S.A.;ETINILESTRADIOL//ETONOGESTREL;;Receta Médica;TRUE
F-16495/17;MYOFORT COMPRIMIDOS CON RECUBRIMIENTO ENTÉRICO 180 mg;2007-11-13 00:00:00;LABORATORIOS RECALCINE S.A.;MICOFENOLATO;;Receta Médica;
F-16496/17;MYOFORT COMPRIMIDOS CON RECUBRIMIENTO ENTÉRICO 360 mg;2007-11-13 00:00:00;LABORATORIOS RECALCINE S.A.;MICOFENOLATO;;Receta Médica;
F-24687/19;MYOMIL SOLUCIÓN INYECTABLE 10 mg/10mL (MILRINONA);2019-03-05 00:00:00;REUTTER S.A.;MILRINONA;;Receta Médica;TRUE
B-2400/20;MYOZYME POLVO LIOFILIZADO PARA INFUSIÓN INTRAVENOSA 50 mg (ALGLUCOSIDASA ALFA);2010-08-18 00:00:00;SANOFI-AVENTIS DE CHILE S.A.;ALGLUCOSIDASA ALFA;;Receta Médica;
F-25481/20;MYPOM CAPSULAS 1 mg (POMALIDOMIDA);2020-06-17 00:00:00;SEVEN PHARMA CHILE S.p.A.;POMALIDOMIDA;;Receta Médica;
F-25482/20;MYPOM CAPSULAS 2 mg (POMALIDOMIDA);2020-06-17 00:00:00;SEVEN PHARMA CHILE S.p.A.;POMALIDOMIDA;;Receta Médica;
F-25483/20;MYPOM CAPSULAS 3 mg (POMALIDOMIDA);2020-06-17 00:00:00;SEVEN PHARMA CHILE S.p.A.;POMALIDOMIDA;;Receta Médica;
F-25484/20;MYPOM CAPSULAS 4 mg (POMALIDOMIDA);2020-06-17 00:00:00;SEVEN PHARMA CHILE S.p.A.;POMALIDOMIDA;;Receta Médica;
F-16378/17;N-BUTIL BROMURO DE HIOSCINA + METAMIZOL SÓDICO SOLUCIÓN INYECTABLE;2007-10-22 00:00:00;LABVITALIS S.A.;ESCOPOLAMINA//METAMIZOL SODICO;;Receta Médica;TRUE
F-7714/21;N-BUTILBROMURO DE ESCOPOLAMINA SOLUCIÓN INYECTABLE 20 mg/mL;1993-05-18 00:00:00;LABORATORIO BIOSANO S.A.;ESCOPOLAMINA;;Receta Médica;
F-17827/19;NABILA COMPRIMIDOS 10 mg (NEBIVOLOL CLORHIDRATO);2009-10-30 00:00:00;TECNOFARMA S.A.;NEBIVOLOL;;Receta Médica;TRUE
F-17826/19;NABILA COMPRIMIDOS 2,5 mg;2009-10-30 00:00:00;TECNOFARMA S.A.;NEBIVOLOL;;Receta Médica;TRUE
F-17338/19;NABILA COMPRIMIDOS 5 mg;2009-01-30 00:00:00;TECNOFARMA S.A.;NEBIVOLOL;;Receta Médica;TRUE
B-2879/21;NABOTA POLVO PARA SOLUCIÓN INYECTABLE 100 U (toxina botulínica tipo A);2021-07-27 00:00:00;TORREGAL CHILE S.p.A.;TOXINA CLOSTRIDIUM BOTULINUM TIPO A;;Receta Médica;
F-9001/21;NAFAZOLINA CLORHIDRATO FENIRAMINA MALEATO SOLUCIÓN OFTÁLMICA ESTÉRIL;1991-04-29 00:00:00;INSTITUTO SANITAS S.A.;FENIRAMINA//NAFAZOLINA;;Receta Médica;
F-21369/19;NAFAZOLINA CLORHIDRATO SOLUCIÓN OFTÁLMICA 0,012%;2014-09-01 00:00:00;OPKO CHILE S.A.;NAFAZOLINA;;Receta Médica;
F-5268/20;NAFAZOLINA CLORHIDRATO SOLUCIÓN OFTÁLMICA 0,12 mg/mL;1980-10-30 00:00:00;OPKO CHILE S.A.;NAFAZOLINA;;Receta Médica;
F-9411/21;NAFLOGONE COMPRIMIDOS RECUBIERTOS 500 mg;1990-03-08 00:00:00;INTERPHARMA S.A.;NABUMETONA;;Receta Médica;
F-20025/18;NAGESOL FORTE COMPRIMIDOS RECUBIERTOS 550 mg;2013-06-13 00:00:00;MINTLAB Co. S.A.;NAPROXENO;;Receta Médica;TRUE
B-2367/19;NAGLAZYME RECOMBINANTE SOLUCIÓN INYECTABLE PARA PERFUSIÓN 5 mg/5 mL (GALSULFASA);2014-01-06 00:00:00;BIOMARIN CHILE SPA;GALSULFASA;;Receta Médica;
B-2863/21;NAGLAZYME SOLUCIÓN INYECTABLE PARA PERFUSIÓN 5 mg/ 5 mL (GALSULFASA);2021-03-30 00:00:00;BIOMARIN CHILE SPA;GALSULFASA;;Receta Médica;
F-11527/16;NALERONA COMPRIMIDOS 50 mg;1996-12-13 00:00:00;LABORATORIOS SILESIA S.A.;NALTREXONA;;Receta Médica;
F-7808/21;NALOXONA CLORHIDRATO SOLUCIÓN INYECTABLE 0,4 mg/mL;1991-04-19 00:00:00;BPH S.A.;NALOXONA;;Receta Médica;TRUE
F-24500/18;NALOXONA SOLUCIÓN INYECTABLE 0,4 mg/ mL;2018-12-27 00:00:00;DIFEM LABORATORIOS S.A.;NALOXONA;;Receta Médica;TRUE
F-15232/20;NALOXONA SOLUCIÓN INYECTABLE 400 mcg/ 1 mL;2005-11-28 00:00:00;OPKO CHILE S.A.;NALOXONA;;Receta Médica;
F-22329/20;NAPHCON A SOLUCIÓN OFTÁLMICA;2015-12-10 00:00:00;ALCON LABORATORIOS CHILE LTDA.;FENIRAMINA//NAFAZOLINA;;Receta Médica;
F-18813/21;NAPROXENO DE SODIO COMPRIMIDOS RECUBIERTOS 550 mg;2011-08-25 00:00:00;EUROFARMA CHILE S.A.;NAPROXENO;;Receta Médica;TRUE
F-1837/19;NAPROXENO SÓDICO COMPRIMIDOS RECUBIERTOS 550 mg;1999-06-17 00:00:00;MINTLAB Co. S.A.;NAPROXENO;;Receta Médica;TRUE
F-13868/19;NAPROXENO SÓDICO COMPRIMIDOS RECUBIERTOS 550 mg;2004-06-18 00:00:00;LABORATORIOS ANDRÓMACO S.A.;NAPROXENO;;Receta Médica;TRUE
F-7582/21;NAPROXENO SÓDICO COMPRIMIDOS RECUBIERTOS 550 mg;2001-05-15 00:00:00;LABORATORIO CHILE S.A.;NAPROXENO;;Receta Médica;TRUE
F-598/18;NARAMIG COMPRIMIDOS RECUBIERTOS 2,5 mg (NARATRIPTAN);1998-06-19 00:00:00;GLAXOSMITHKLINE CHILE FARMACÉUTICA LTDA.;NARATRIPTAN;;Receta Médica;
F-18651/21;NARTAN COMPRIMIDOS RECUBIERTOS 2,5 mg;2011-05-23 00:00:00;LABORATORIO CHILE S.A.;NARATRIPTAN;;Receta Médica;TRUE
F-13934/19;NASOLVER JARABE;2004-07-30 00:00:00;MINTLAB Co. S.A.;CLORFENAMINA//CODEINA//PSEUDOEFEDRINA;Estupefaciente;Receta Médica;
B-1080/21;NASOMIN UNGÜENTO NASAL;1992-08-12 00:00:00;PRODUCTOS FARMACÉUTICOS MEDIPHARM SPA ;ANTAZOLINA//BACITRACINA//NEOMICINA//XILOMETAZOLINA;;Receta Médica;
F-8463/21;NASTIFRIN COMPUESTO COMPRIMIDOS RECUBIERTOS;1993-05-12 00:00:00;LABORATORIO CHILE S.A.;CLORFENAMINA//PARACETAMOL//PSEUDOEFEDRINA;;Receta Médica;
F-5301/20;NASTIFRIN COMPUESTO DN COMPRIMIDOS RECUBIERTOS;2000-07-20 00:00:00;LABORATORIO CHILE S.A.;CLORFENAMINA//PARACETAMOL//PSEUDOEFEDRINA;;Receta Médica;
F-8464/21;NASTIFRIN COMPUESTO JARABE;1993-05-12 00:00:00;LABORATORIO CHILE S.A.;CLORFENAMINA//PARACETAMOL//PSEUDOEFEDRINA;;Receta Médica;
F-8465/21;NASTIFRIN JARABE;1994-05-26 00:00:00;LABORATORIO CHILE S.A.;CLORFENAMINA//PSEUDOEFEDRINA;;Receta Médica;
F-6967/20;NASTIZOL COMPOSITUM COMPRIMIDOS RECUBIERTOS;1982-06-09 00:00:00;LABORATORIO BAGÓ DE CHILE S.A.;CLORFENAMINA//PARACETAMOL//PSEUDOEFEDRINA;;Receta Médica;
F-6966/20;NASTIZOL COMPOSITUM JARABE;1982-06-09 00:00:00;LABORATORIO BAGÓ DE CHILE S.A.;CLORFENAMINA//PARACETAMOL//PSEUDOEFEDRINA;;Receta Médica;
F-13511/19;NASTIZOL COMPOSITUM PEDIÁTRICO SOLUCIÓN PARA GOTAS ORALES;2004-02-06 00:00:00;LABORATORIO BAGÓ DE CHILE S.A.;CLORFENAMINA//PARACETAMOL//PSEUDOEFEDRINA;;Receta Médica;TRUE
F-2181/19;NASTIZOL COMPRIMIDOS RECUBIERTOS;1978-08-24 00:00:00;LABORATORIO BAGÓ DE CHILE S.A.;CLORFENAMINA//PSEUDOEFEDRINA;;Receta Médica;
F-13251/18;NASTIZOL DÍA-NOCHE COMPRIMIDOS;2003-11-03 00:00:00;LABORATORIO BAGÓ DE CHILE S.A.;CLORFENAMINA//PARACETAMOL//PSEUDOEFEDRINA;;Receta Médica;
F-2180/19;NASTIZOL JARABE;1978-08-25 00:00:00;LABORATORIO BAGÓ DE CHILE S.A.;CLORFENAMINA//PSEUDOEFEDRINA;;Receta Médica;TRUE
F-2187/19;NASTIZOL SOLUCIÓN PARA GOTAS ORALES;1978-09-28 00:00:00;LABORATORIO BAGÓ DE CHILE S.A.;CLORFENAMINA//PSEUDOEFEDRINA;;Receta Médica;TRUE
F-8745/21;NASTUL COMPRIMIDOS RECUBIERTOS;1994-11-03 00:00:00;CHEMOPHARMA S.A.;CLORFENAMINA//PSEUDOEFEDRINA;;Receta Médica;
F-8746/21;NASTUL COMPUESTO COMPRIMIDOS RECUBIERTOS;1994-08-10 00:00:00;CHEMOPHARMA S.A.;CLORFENAMINA//PARACETAMOL//PSEUDOEFEDRINA;;Receta Médica;
F-8747/21;NASTUL COMPUESTO JARABE;1994-08-01 00:00:00;CHEMOPHARMA S.A.;CLORFENAMINA//PARACETAMOL//PSEUDOEFEDRINA;;Receta Médica;
F-11954/17;NASTUL DÍA Y NOCHE COMPRIMIDOS RECUBIERTOS;2002-03-28 00:00:00;CHEMOPHARMA S.A.;CLORFENAMINA//PARACETAMOL//PSEUDOEFEDRINA;;Receta Médica;
F-8748/21;NASTUL JARABE;1994-10-04 00:00:00;CHEMOPHARMA S.A.;CLORFENAMINA//PSEUDOEFEDRINA;;Receta Médica;
F-8744/16;NASTUL SOLUCIÓN ORAL PARA GOTAS;1994-12-17 00:00:00;CHEMOPHARMA S.A.;CLORFENAMINA//PSEUDOEFEDRINA;;Receta Médica;TRUE
F-1124/18;NATABEC CÁPSULAS;1959-09-08 00:00:00;LABORATORIOS SILESIA S.A.;ACIDO ASCORBICO//ACIDO FOLICO//CIANOCOBALAMINA//ERGOCALCIFEROL//HIERRO SULFATO//NICOTINAMIDA//PIRIDOXINA//RETINOL//RIBOFLAVINA//TIAMINA;;Receta Médica;
F-22099/20;NATRILAM 1,5/5,0 COMPRIMIDOS RECUBIERTOS DE LIBERACIÓN SOSTENIDA;2015-08-28 00:00:00;LABORATORIO SERVIER CHILE LTDA.;AMLODIPINO//INDAPAMIDA;;Receta Médica;
F-22100/20;NATRILAM 1,5/10 COMPRIMIDOS RECUBIERTOS DE LIBERACIÓN SOSTENIDA;2015-08-28 00:00:00;LABORATORIO SERVIER CHILE LTDA.;AMLODIPINO//INDAPAMIDA;;Receta Médica;
F-1774/19;NATRILIX SR COMPRIMIDOS RECUBIERTOS DE LIBERACIÓN PROLONGADA 1,5 mg;1999-04-30 00:00:00;LABORATORIO SERVIER CHILE LTDA.;INDAPAMIDA;;Receta Médica;
F-20441/18;NATUREL COMPRIMIDOS RECUBIERTOS;2013-10-15 00:00:00;GRÜNENTHAL CHILENA LTDA.;ESTRADIOL//NOMEGESTROL;;Receta Médica;
F-24225/18;NAVELBINE CÁPSULAS BLANDAS 20 mg (VINORELBINA);2018-10-24 00:00:00;LABORATORIO BIOTOSCANA FARMA S.p.A.;VINORELBINA;;Receta Médica;
F-24226/18;NAVELBINE CÁPSULAS BLANDAS 30 mg (VINORELBINA);2018-10-24 00:00:00;LABORATORIO BIOTOSCANA FARMA S.p.A.;VINORELBINA;;Receta Médica;
F-2678/19;NAVELBINE SOLUCIÓN INYECTABLE 50 mg/5 mL;1999-12-30 00:00:00;LABORATORIO BIOTOSCANA FARMA S.p.A.;VINORELBINA;;Receta Médica;
F-15205/20;NEBIDO SOLUCIÓN INYECTABLE 1000 mg/4 mL (TESTOSTERONA UNDECANOATO);2005-11-09 00:00:00;BAYER S.A.;TESTOSTERONA;;Receta Médica;
F-20120/18;NEBILET COMPRIMIDOS 5 mg;2013-08-23 00:00:00;ITF - LABOMED FARMACÉUTICA LTDA.;NEBIVOLOL;;Receta Médica;
F-25511/20;NEBILET-D 5/12,5 COMPRIMIDOS RECUBIERTOS;2020-06-25 00:00:00;ITF - LABOMED FARMACÉUTICA LTDA.;NEBIVOLOL//HIDROCLOROTIAZIDA;;Receta Médica;
F-25512/20;NEBILET-D 5/25 COMPRIMIDOS RECUBIERTOS;2020-06-25 00:00:00;ITF - LABOMED FARMACÉUTICA LTDA.;NEBIVOLOL//HIDROCLOROTIAZIDA;;Receta Médica;
F-24240/18;NEBIVITAE COMPRIMIDOS 5 mg;2018-10-30 00:00:00;GALENICUM HEALTH CHILE S.p.A.;NEBIVOLOL;;Receta Médica;TRUE
F-21880/20;NEDRUS SOLUCIÓN OFTÁLMICA 0,05%;2015-05-29 00:00:00;LABORATORIOS SMB FARMA S.A.;KETOTIFENO;;Receta Médica;
F-25831/20;NEFERSIL 100 SOLUCIÓN INYECTABLE 100 mg/2mL (CLONIXINATO DE LISINA);2020-12-02 00:00:00;MEGALABS CHILE S.A.;CLONIXINIO;;Receta Médica;
F-25838/20;NEFERSIL 200 SOLUCIÓN INYECTABLE 200 mg/4 mL (CLONIXINATO DE LISINA);2020-12-02 00:00:00;MEGALABS CHILE S.A.;CLONIXINIO;;Receta Médica;
F-24186/18;NEFERSIL B COMPRIMIDOS RECUBIERTOS;2018-10-22 00:00:00;MEGALABS CHILE S.A.;CIANOCOBALAMINA//CLONIXINIO//PIRIDOXINA//TIAMINA;;Receta Médica;
F-22912/21;NEFERSIL COMPRIMIDOS RECUBIERTOS 125 mg (CLONIXINATO DE LISINA);2016-08-05 00:00:00;MEGALABS CHILE S.A.;CLONIXINIO;;Receta Médica;
F-12479/17;NEFERSIL FAST CÁPSULAS 125 mg;2002-10-17 00:00:00;MEGALABS CHILE S.A.;CLONIXINIO;;Receta Médica;
F-18766/21;NEFERSIL SOLUCIÓN INYECTABLE 100 mg/2mL;2011-07-15 00:00:00;MEGALABS CHILE S.A.;CLONIXINIO;;Receta Médica;
F-23157/16;NEFEX CÁPSULAS CON GRÁNULOS DE LIBERACIÓN PROLONGADA 0,4 mg;2016-11-07 00:00:00;OPKO CHILE S.A.;TAMSULOSINA;;Receta Médica;
F-23476/17;NEFEX DUO CAPSULAS CON GRÁNULOS DE LIBERACIÓN SOSTENIDA;2017-05-26 00:00:00;OPKO CHILE S.A.;DUTASTERIDA//TAMSULOSINA;;Receta Médica;
F-1098/18;NEO - SINTROM COMPRIMIDOS 4 mg;1957-11-16 00:00:00;AXON PHARMA S.p.A.;ACENOCUMAROL;;Receta Médica;
F-16473/17;NEO-ALLEDRYL COMPRIMIDOS RECUBIERTOS 5 mg;2007-11-07 00:00:00;LABORATORIOS PRATER S.A.;DESLORATADINA;;Receta Médica;TRUE
F-23439/17;NEO-ALLEDRYL D COMPRIMIDOS DE LIBERACIÓN PROLONGADA;2017-05-04 00:00:00;LABORATORIOS PRATER S.A.;DESLORATADINA//PSEUDOEFEDRINA;;Receta Médica;
F-15537/21;NEO-ALLEDRYL JARABE 2,5 mg/5 mL;2006-05-26 00:00:00;LABORATORIOS PRATER S.A.;DESLORATADINA;;Receta Médica;
F-25473/20;Neo-Sintrom comprimidos 4 mg (ACENOCUMAROL);2020-06-15 00:00:00;AXON PHARMA S.p.A.;ACENOCUMAROL;;Receta Médica;
F-14077/19;NEOALERTOP COMPRIMIDOS RECUBIERTOS 5 mg;2004-08-27 00:00:00;LABORATORIO CHILE S.A.;LEVOCETIRIZINA;;Receta Médica;TRUE
F-15932/17;NEOALERTOP SOLUCIÓN ORAL 2,5 mg/5 mL (LEVOCETRIZINA DICLORHIDRATO);2007-02-09 00:00:00;LABORATORIO CHILE S.A.;LEVOCETIRIZINA;;Receta Médica;
F-18158/20;NEOALERTOP SOLUCIÓN ORAL PARA GOTAS 5 mg/mL;2010-07-20 00:00:00;LABORATORIO CHILE S.A.;LEVOCETIRIZINA;;Receta Médica;
F-16959/18;NEODERM SOLUCIÓN TÓPICA;2008-07-31 00:00:00;LABORATORIOS RECALCINE S.A.;MEQUINOL//TRETINOINA;;Receta Médica;
F-14378/19;NEOHYSTICLAR COMPRIMIDOS RECUBIERTOS 5 mg (DESLORATADINA);2004-12-22 00:00:00;MINTLAB Co. S.A.;DESLORATADINA;;Receta Médica;TRUE
F-14380/19;NEOHYSTICLAR JARABE 2,5 mg/5 mL;2004-12-22 00:00:00;MINTLAB Co. S.A.;DESLORATADINA;;Receta Médica;
F-15836/16;NEOPRESOL COMPRIMIDOS RECUBIERTOS 10 mg;2006-12-18 00:00:00;LABORATORIO BAGÓ DE CHILE S.A.;ESCITALOPRAM;;Receta Médica;TRUE
F-21888/20;NEOQUIN FORTE CREMA TOPICA 4% (HIDROQUINONA);2015-06-03 00:00:00;LABORATORIOS D & M PHARMA LTDA.;HIDROQUINONA;;Receta Médica;
F-22910/21;NEORAXIS CAPSULAS 5 mg (TACROLIMUS);2016-07-28 00:00:00;LABORATORIOS RECALCINE S.A.;TACROLIMUS;;Receta Médica;TRUE
F-16442/17;NEOREN CÁPSULAS CON MICROGRÁNULOS CON RECUBRIMIENTO ENTÉRICO 20 mg;2007-11-06 00:00:00;PRODUCTOS FARMACÉUTICOS MEDIPHARM SPA ;ESOMEPRAZOL;;Receta Médica;
F-16443/17;NEOREN CÁPSULAS CON MICROGRÁNULOS CON RECUBRIMIENTO ENTÉRICO 40 mg;2007-11-06 00:00:00;PRODUCTOS FARMACÉUTICOS MEDIPHARM SPA ;ESOMEPRAZOL;;Receta Médica;
F-6168/20;NEOSTIGMINA METILSULFATO SOLUCIÓN INYECTABLE 0,5 mg/1 mL;1984-07-30 00:00:00;LABORATORIO SANDERSON S.A.;NEOSTIGMINA;;Receta Médica;TRUE
F-3360/20;NEOSTIGMINA METILSULFATO SOLUCIÓN INYECTABLE 0,5 mg/mL;2000-04-17 00:00:00;LABORATORIO BIOSANO S.A.;NEOSTIGMINA;;Receta Médica;
F-25448/20;Neostigmina metilsulfato solución inyectable 5mg/10 mL;2020-05-27 00:00:00;SEVEN PHARMA CHILE S.p.A.;NEOSTIGMINA;;Receta Médica;TRUE
F-20964/19;NEOZENTIUS 10 COMPRIMIDOS RECUBIERTOS 10 mg;2014-03-19 00:00:00;MEGALABS CHILE S.A.;Escitalopram;;Receta Médica;TRUE
F-20790/19;NEOZENTIUS 20 COMPRIMIDOS RECUBIERTOS 20 mg;2014-01-20 00:00:00;MEGALABS CHILE S.A.;ESCITALOPRAM;;Receta Médica;TRUE
F-22038/20;NEPHROTECT SOLUCIÓN PARA PERFUSIÓN;2015-07-31 00:00:00;FRESENIUS KABI CHILE LTDA.;ACETILCISTEINA//ALANINA//ARGININA//FENILALANINA//GLICINA//HISTIDINA//ISOLEUCINA//LEUCINA//LISINA//METIONINA//PROLINA//SERINA//TIROSINA//TIROSINA//TREONINA//TRIPTOFANO//VALINA;;Receta Médica;
F-19402/17;NEPOKARE COMPRIMIDOS RECUBIERTOS 10 mg;2012-04-30 00:00:00;DR. REDDY'S LABORATORIES CHILE S.p.A.;DONEPEZILO;;Receta Médica;TRUE
